,word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
191,Grand Slam,101875,Mounds,20524,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,False,brands,1.0
192,Grand Slam,101875,Moro,19736,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
193,Grand Slam,101875,After Eight,19060,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
194,Grand Slam,101875,Tango,14720,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
195,Grand Slam,101875,Milky Way,11137,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
196,Grand Slam,101875,Maestro,9816,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,1.0
197,Grand Slam,101875,Chunky,9598,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
198,Grand Slam,101875,M&S,8914,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
199,Grand Slam,101875,Duncan's,6358,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
200,Ferrari,92463,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,102.0
201,Ferrari,92463,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,False,brands,921.0
202,Ferrari,92463,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,2.0
203,Ferrari,92463,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,211.0
204,Ferrari,92463,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,13.0
205,Sachs,91746,Avid,36338,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,True,brands,1.0
206,Sachs,91746,Michelin,26340,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,False,brands,25.0
207,Sachs,91746,Giro,26126,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,False,brands,2.0
208,Sachs,91746,Easton,22194,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,True,brands,0.0
209,Sachs,91746,Centurion,8094,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,False,brands,3.0
210,Sachs,91746,Vittoria,2806,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,True,brands,0.0
211,Sachs,91746,SRAM,1974,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,True,brands,9.0
212,Sachs,91746,Atala,909,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,False,brands,2.0
213,Sachs,91746,Campagnolo,702,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,True,brands,0.0
214,Sachs,91746,Cinelli,567,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,True,brands,0.0
215,BMW,91546,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,84.0
216,BMW,91546,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,25.0
217,BMW,91546,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,53.0
218,BMW,91546,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,48.0
219,Newport,90129,LD,34542,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
220,Newport,90129,Regent,32207,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,2.0
221,Newport,90129,Marlboro,19058,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,4.0
222,Newport,90129,Pueblo,18961,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
223,Newport,90129,Winfield,18658,https://en.wikipedia.org/wiki/List_of_cigarette_brands,False,brands,145.0
224,Newport,90129,North Pole,15504,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
225,Newport,90129,Vantage,13938,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
226,Nissan,87485,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,52.0
227,Nissan,87485,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,189.0
228,Nissan,87485,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,60.0
229,Coca-Cola,84708,Barr,47651,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,0.0
230,Coca-Cola,84708,Pepsi,38546,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,105.0
231,Coca-Cola,84708,Aquarius,6406,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,0.0
232,Coca-Cola,84708,Schweppes,5602,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,5.0
233,Coca-Cola,84708,Sprite,5279,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,9.0
234,Coca-Cola,84708,Diet Coke,4684,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,False,brands,522.0
235,Coca-Cola,84708,Leed,4650,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,0.0
236,Coca-Cola,84708,Pepsi Cola,4600,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,4.0
237,Coca-Cola,84708,Dr Pepper,3864,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,16.0
238,Coca-Cola,84708,Mountain Dew,3133,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,True,brands,3.0
239,Breakaway,79445,Mounds,20524,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
240,Breakaway,79445,Moro,19736,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,False,brands,42.0
241,Breakaway,79445,After Eight,19060,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,1.0
242,Breakaway,79445,Tango,14720,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
243,Breakaway,79445,Milky Way,11137,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
244,Breakaway,79445,Maestro,9816,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,False,brands,1.0
245,Breakaway,79445,Chunky,9598,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
246,Breakaway,79445,M&S,8914,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
247,Breakaway,79445,Duncan's,6358,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
248,Mitsubishi,79047,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,7.0
249,Mitsubishi,79047,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,21.0
250,Kingston,78706,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,22.0
251,Sebastian,78615,Safeguard,64950,https://en.wikipedia.org/wiki/List_of_Procter_%26_Gamble_brands,True,brands,0.0
252,Sebastian,78615,Crest,31917,https://en.wikipedia.org/wiki/List_of_Procter_%26_Gamble_brands,True,brands,0.0
